Client_ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
28639,100000,Female,High School,Married,39,0,0,0,0,0,0,97944,99580,92297,184134,70400,0,4296,4068,2037,1408,0,0,Non-Defaulter
14389,50000,Male,High School,Single,22,0,0,0,0,0,0,45803,46696,15287,7694,7921,8041,2400,1123,500,500,400,500,Non-Defaulter
21171,170000,Male,Graduate school,Single,42,0,0,0,0,0,0,166708,85607,88228,91719,97759,99905,4000,4000,5000,7500,4000,5000,Non-Defaulter
3573,20000,Female,University,Married,24,1,2,0,0,2,2,18817,18227,19632,20298,20337,19863,0,1720,1754,893,0,400,Non-Defaulter
5242,140000,Female,Graduate school,Single,31,0,0,0,2,2,2,41314,42377,43923,43051,44109,43253,1732,2278,3000,1892,0,1572,Non-Defaulter
27787,50000,Female,Graduate school,Single,25,0,0,0,0,0,0,30587,30440,30367,30621,30150,30246,1800,1900,1800,1500,1450,1500,Non-Defaulter
7047,80000,Female,University,Married,53,1,2,2,2,0,0,9715,9415,11254,10777,12096,13895,0,2000,0,1500,2000,0,Non-Defaulter
5182,200000,Female,University,Married,47,-1,-1,0,0,0,0,528,13921,14943,14692,14733,14820,13921,1528,500,528,655,284,Non-Defaulter
2511,30000,Female,Graduate school,Single,24,2,2,2,0,0,0,31202,32801,30092,30148,30222,28949,2415,0,1045,915,1063,409,Defaulter
19397,180000,Female,University,Married,32,0,0,0,0,0,-2,5244,8135,12621,17987,-99,-99,3000,5000,15000,0,0,0,Non-Defaulter
26809,50000,Male,Graduate school,Single,31,0,0,0,0,0,0,49139,49281,42472,44810,45699,46675,1707,1948,11746,1635,1712,4000,Defaulter
13530,90000,Male,Graduate school,Single,29,-1,-1,-1,0,-1,-1,140,0,280,140,133,2506,0,420,0,133,2513,910,Non-Defaulter
7261,360000,Female,High School,Married,31,-1,-1,-1,-1,-1,-1,28835,14596,10705,3400,6410,5479,14596,10705,3400,6410,5479,4120,Non-Defaulter
6718,140000,Male,Graduate school,Single,27,0,0,0,2,0,0,19484,20114,16606,9609,5429,9763,2000,10063,0,2000,5000,5000,Defaulter
19661,20000,Female,High School,Other,44,0,0,2,2,0,0,18126,20771,20434,19874,19546,0,3599,1200,1000,400,0,0,Defaulter
16291,190000,Female,University,Married,43,1,2,0,0,0,0,189697,185105,184180,156969,157856,158451,0,9021,6000,5489,5670,6000,Defaulter
14336,390000,Male,Graduate school,Single,41,-1,-1,-1,-1,-1,-1,6782,1466,3273,6965,4893,7777,1466,3273,6965,4893,7777,7271,Non-Defaulter
7395,30000,Female,High School,Married,31,3,2,2,2,2,2,23368,24688,24988,24288,26098,25530,2000,1000,0,2200,0,1100,Defaulter
12855,500000,Female,University,Married,28,-2,-2,-2,-1,0,0,67763,47746,28148,24377,15421,11239,2244,4625,24448,2028,2009,1710,Non-Defaulter
20930,200000,Male,University,Single,35,-1,-1,-1,-2,-1,-1,1121,4621,4318,1640,6614,707,4621,4351,1654,6614,707,0,Non-Defaulter
1055,230000,Male,University,Married,53,2,2,-2,-2,-2,-1,1350,0,0,0,0,470,0,0,0,0,470,0,Non-Defaulter
24579,500000,Male,Graduate school,Married,47,1,-1,-1,-1,-1,-1,0,1200,163,1131,150,165,1200,163,1142,150,165,8530,Non-Defaulter
13449,200000,Male,University,Married,57,-1,-1,-1,-1,-1,-1,780,0,780,390,0,390,0,780,390,0,390,390,Non-Defaulter
12380,140000,Female,University,Single,33,-1,-1,-1,-1,-1,-1,4882,4882,4876,4666,4884,4666,4882,4876,4666,4884,4666,4666,Non-Defaulter
22238,220000,Female,Graduate school,Married,33,0,0,0,0,0,0,199040,182158,143895,147039,152384,159631,10032,7000,7500,10000,10000,7000,Non-Defaulter
13708,200000,Female,Graduate school,Single,30,-1,-1,-1,-1,-1,-1,4520,10382,4447,126476,700,0,10382,4447,126476,700,0,860,Non-Defaulter
13701,10000,Female,University,Single,28,0,0,0,0,0,-1,7797,8893,9665,9862,4854,1430,1228,1000,197,1597,1430,1184,Non-Defaulter
15851,50000,Female,Graduate school,Single,28,1,2,2,2,2,2,51943,50800,51967,50794,51911,50976,0,4156,0,4100,0,2000,Defaulter
348,50000,Female,University,Single,29,0,0,0,0,0,0,47081,49316,50409,45545,39963,41145,3000,2000,2000,2000,2000,2000,Defaulter
27268,160000,Male,Graduate school,Married,42,2,2,0,0,2,2,14137,13613,14634,16532,15969,17701,0,1247,2145,0,2000,0,Defaulter
22294,200000,Female,University,Married,29,0,0,0,0,0,0,74566,73700,73624,73928,72060,72393,3213,3304,3815,3004,3006,4012,Non-Defaulter
26097,210000,Female,Graduate school,Married,46,-2,-2,-2,-2,-2,-2,0,477,971,0,386,0,477,972,0,386,0,0,Non-Defaulter
13150,130000,Female,Graduate school,Single,25,0,0,0,0,0,0,37112,34653,9522,3939,6939,950,2009,2000,2000,3000,900,0,Non-Defaulter
29813,200000,Male,University,Married,37,0,0,0,0,0,0,149303,156632,136685,137432,138059,126615,30000,30000,4148,15100,8029,15004,Non-Defaulter
26666,30000,Male,High School,Single,26,0,0,2,0,0,0,25535,28738,27999,28097,28670,7770,3641,0,1000,573,1000,0,Non-Defaulter
13376,10000,Female,High School,Married,58,0,0,0,0,0,0,7569,8598,9590,9782,9986,9173,1158,1150,335,346,336,1323,Non-Defaulter
15871,360000,Female,University,Single,28,0,0,0,0,0,0,264971,257086,253407,259551,265149,340930,9043,8847,10000,10000,80016,15000,Non-Defaulter
